Online_months,stateabb,sedaadmin,sedaadminname,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
0,AL,102100,LIMESTONE COUNTY,-0.249,0.04795105,-0.303,0.0435,-0.572,0.04781006,-0.529,0.0448,-0.322,0.06768452,-0.227,0.0571,3946,7158,6,6,657.7,1193.0
7,AL,102160,LOWNDES COUNTY,-0.812,0.05793844,-0.859,0.051,-1.2,0.06206565,-1.14,0.0563,-0.389,0.08486035,-0.282,0.0664,646,583,6,6,107.7,97.2
7,AL,102190,MACON COUNTY,-0.887,0.06244895,-0.926,0.0544,-1.22,0.06685285,-1.17,0.0598,-0.33,0.09170857,-0.242,0.0699,722,826,5,6,144.4,137.7
0,AL,102220,MADISON COUNTY,0.0061,0.04682809,-0.0126,0.0426,-0.0347,0.04704313,-0.024,0.0441,-0.0408,0.06636571,-0.0114,0.0563,8741,9064,6,6,1456.8,1510.7
0,AL,102250,MARENGO COUNTY,-0.261,0.06871013,-0.293,0.0583,-0.383,0.06609822,-0.359,0.0597,-0.122,0.09535202,-0.0659,0.071,448,411,6,6,74.7,68.5
3,AL,102310,MARION COUNTY,-0.225,0.05149193,-0.223,0.0461,-0.158,0.05133107,-0.164,0.0477,0.0671,0.07269901,0.0594,0.0599,1498,1485,6,6,249.7,247.5
7,AL,102350,MIDFIELD CITY,-0.957,0.0636906,-0.953,0.0549,-1.14,0.0627286,-1.12,0.057,-0.183,0.08938802,-0.168,0.0684,458,495,6,6,76.3,82.5
0,AL,102370,MOBILE COUNTY,-0.395,0.04583203,-0.41,0.0419,-0.51,0.04639976,-0.496,0.0436,-0.115,0.06521121,-0.0861,0.0556,24746,24165,6,6,4124.3,4027.5
4,AL,102400,MONROE COUNTY,-0.692,0.05177935,-0.677,0.0464,-0.673,0.05226177,-0.681,0.0485,0.0191,0.0735629,-0.0037,0.0605,1548,1450,6,6,258.0,241.7
2,AL,102430,MONTGOMERY COUNTY,-0.77,0.04658322,-0.788,0.0425,-0.99,0.04756337,-0.969,0.0445,-0.22,0.06657352,-0.181,0.0564,13552,13103,6,6,2258.7,2183.8
8,AL,102480,MORGAN COUNTY,-0.297,0.04826133,-0.29,0.0437,-0.225,0.04875358,-0.233,0.0456,0.0716,0.06858807,0.0575,0.0576,3480,3426,6,6,580.0,571.0
6,AL,102490,MOUNTAIN BROOK CITY,0.736,0.05456963,0.696,0.0484,0.77,0.0509851,0.782,0.0475,0.0344,0.07465697,0.086,0.061,1934,1907,6,6,322.3,317.8
