Online_months,stateabb,sedaadmin,sedaadminname,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
7,AL,101230,DOTHAN CITY,-0.314,0.03120575,-0.324,0.0292,-0.395,0.03155177,-0.385,0.0298,-0.0808,0.04437388,-0.0612,0.039,4227,3931,6,6,704.5,655.2
8,AL,101290,ELMORE COUNTY,-0.0688,0.02884178,-0.0693,0.0272,-0.0435,0.02974571,-0.0444,0.0282,0.0253,0.04140916,0.0249,0.0369,5250,5398,6,6,875.0,899.7
2,AL,101320,ENTERPRISE CITY,0.0747,0.03240804,0.0728,0.0303,0.108,0.03311565,0.107,0.0311,0.0329,0.04626889,0.0346,0.0402,3110,3015,6,6,518.3,502.5
0,AL,101350,ESCAMBIA COUNTY,-0.271,0.03421202,-0.285,0.0317,-0.378,0.03516791,-0.363,0.0328,-0.107,0.04904234,-0.0772,0.042,1980,1914,6,6,330.0,319.0
0,AL,101380,ETOWAH COUNTY,-0.0284,0.02982313,-0.029,0.0281,-0.00913,0.03043861,-0.0105,0.0288,0.0193,0.04260082,0.0186,0.0378,3878,3894,6,6,646.3,649.0
0,AL,101410,EUFAULA CITY,-0.669,0.04444089,-0.64,0.0393,-0.546,0.03267563,-0.555,0.0309,0.123,0.05511014,0.0856,0.0455,1137,3315,6,6,189.5,552.5
2,AL,101440,FAIRFIELD CITY,-0.795,0.0458156,-0.791,0.0406,-0.816,0.04433685,-0.811,0.0402,-0.0212,0.06384958,-0.0205,0.0502,683,729,6,6,113.8,121.5
0,AL,101470,FAYETTE COUNTY,-0.231,0.04041355,-0.226,0.0367,-0.2,0.0427968,-0.205,0.0389,0.031,0.05886634,0.0209,0.0477,1023,951,6,6,170.5,158.5
8,AL,101530,FLORENCE CITY,-0.113,0.0361546,-0.12,0.0333,-0.143,0.0371731,-0.137,0.0345,-0.0302,0.05185001,-0.0171,0.0438,1869,2104,6,6,311.5,350.7
0,AL,101560,FORT PAYNE CITY,-0.312,0.0375642,-0.282,0.0344,-0.101,0.03846485,-0.129,0.0355,0.21,0.05369093,0.153,0.0449,1552,1584,6,6,258.7,264.0
0,AL,101590,FRANKLIN COUNTY,-0.39,0.03662597,-0.392,0.0337,-0.417,0.03603813,-0.414,0.0335,-0.0278,0.05131171,-0.0219,0.0434,1651,1636,6,6,275.2,272.7
2,AL,101620,GADSDEN CITY,-0.308,0.03415099,-0.322,0.0317,-0.404,0.03577109,-0.39,0.0333,-0.0956,0.04946075,-0.0682,0.0423,2211,2190,6,6,368.5,365.0
0,AL,101640,GENEVA CITY,-0.0585,0.04830719,-0.0667,0.0427,-0.0792,0.05165091,-0.0744,0.0456,-0.0207,0.07070387,-0.00768,0.0535,600,581,6,6,100.0,96.8
0,AL,101660,GENEVA COUNTY,-0.111,0.03917969,-0.104,0.0357,-0.0386,0.03877547,-0.0477,0.0358,0.0725,0.05511644,0.0558,0.0457,1214,1237,6,6,202.3,206.2
7,AL,101680,GREENE COUNTY,-0.933,0.05844501,-0.892,0.0492,-0.887,0.05350798,-0.897,0.0475,0.0461,0.07934149,-0.00505,0.0567,458,406,6,6,76.3,67.7
0,AL,101690,GUNTERSVILLE CITY,0.0316,0.04391495,0.0329,0.0394,0.0786,0.04548002,0.0708,0.041,0.0471,0.06314771,0.0379,0.05,846,842,6,6,141.0,140.3
0,AL,101710,HALE COUNTY,-0.449,0.03914417,-0.453,0.0357,-0.491,0.04150202,-0.485,0.0379,-0.0423,0.05699413,-0.0317,0.0468,1117,1015,6,6,186.2,169.2
0,AL,101720,HALEYVILLE CITY,-0.4,0.04571676,-0.362,0.0406,-0.196,0.04578526,-0.23,0.0413,0.204,0.06473356,0.131,0.0506,746,743,6,6,124.3,123.8
8,AL,101730,HARTSELLE CITY,0.27,0.03845401,0.255,0.0351,0.235,0.03780172,0.243,0.035,-0.0349,0.05390477,-0.0118,0.045,1475,1588,6,6,245.8,264.7
7,AL,101740,HENRY COUNTY,-0.267,0.03843677,-0.254,0.0352,-0.172,0.04036264,-0.185,0.037,0.0957,0.05566511,0.0693,0.046,1153,1128,6,6,192.2,188.0
0,AL,101760,HOMEWOOD CITY,0.474,0.03945284,0.457,0.0358,0.456,0.03681236,0.463,0.0342,-0.0187,0.05394788,0.00611,0.0449,2034,1974,6,6,339.0,329.0
0,AL,101770,HOUSTON COUNTY,-0.0575,0.0312153,-0.0595,0.0293,-0.0544,0.03187806,-0.0549,0.03,0.00305,0.04457706,0.00468,0.0391,2955,3008,6,6,492.5,501.3
0,AL,101800,HUNTSVILLE CITY,-0.227,0.02789741,-0.229,0.0264,-0.232,0.02821241,-0.231,0.0269,-0.0051,0.0396663,-0.00182,0.0357,10874,11018,6,6,1812.3,1836.3
0,AL,101830,JACKSON COUNTY,-0.181,0.0327561,-0.182,0.0305,-0.18,0.03373056,-0.179,0.0316,0.000676,0.04698129,0.00333,0.0407,2348,2283,6,6,391.3,380.5
0,AL,101860,JACKSONVILLE CITY,0.188,0.04811776,0.187,0.0425,0.244,0.04941651,0.235,0.0441,0.0564,0.06894003,0.0481,0.0527,733,740,6,6,122.2,123.3
0,AL,101890,JASPER CITY,-0.029,0.04189158,-0.0192,0.0377,0.0441,0.04099417,0.0338,0.0376,0.0732,0.05862124,0.053,0.0476,1228,1188,6,6,204.7,198.0
0,AL,101920,JEFFERSON COUNTY,-0.435,0.02638765,-0.436,0.0251,-0.461,0.02709398,-0.459,0.0259,-0.0269,0.0377995,-0.0231,0.0343,16837,16444,6,6,2806.2,2740.7
